method,region,size,threads,mean,ci
pth_com,Seahorse_Valley,16,2,0.000688841,1.9036809876000002e-5
pth_com,Seahorse_Valley,16,4,0.000615056,2.9173336192000003e-5
pth_com,Seahorse_Valley,16,8,0.000716395,2.611689612e-5
pth_com,Seahorse_Valley,16,16,0.000906705,2.0081702339999997e-5
pth_com,Seahorse_Valley,16,32,0.001215461,3.930800874e-5
pth_com,Seahorse_Valley,32,1,0.00166168,5.764700256e-5
pth_com,Seahorse_Valley,32,2,0.001176931,1.5455457892000002e-5
pth_com,Seahorse_Valley,32,4,0.00089588,2.1949060000000004e-5
pth_com,Seahorse_Valley,32,8,0.000937853,3.2168357899999995e-5
pth_com,Seahorse_Valley,32,16,0.000982274,4.8709003111999994e-5
pth_com,Seahorse_Valley,32,32,0.001358495,4.3134933240000006e-5
pth_com,Seahorse_Valley,64,1,0.005080586,1.7924307408e-5
pth_com,Seahorse_Valley,64,2,0.003199144,5.2043674592e-5
pth_com,Seahorse_Valley,64,4,0.002015483,3.3972981448000005e-5
pth_com,Seahorse_Valley,64,8,0.001952327,0.00022347115772799997
pth_com,Seahorse_Valley,64,16,0.001653212,7.3230678752e-5
pth_com,Seahorse_Valley,64,32,0.001662467,5.0179903928e-5
pth_com,Seahorse_Valley,128,1,0.018449941,0.000220587494596
pth_com,Seahorse_Valley,128,2,0.011304188,0.000135152871728
pth_com,Seahorse_Valley,128,4,0.006618469,4.7997137188e-5
pth_com,Seahorse_Valley,128,8,0.005316242,0.0004688925444
pth_com,Seahorse_Valley,128,16,0.004490543,0.00022267704628399994
pth_com,Seahorse_Valley,128,32,0.004022532,0.00016635583339199997
pth_com,Seahorse_Valley,256,1,0.071158164,0.0015341700158400002
pth_com,Seahorse_Valley,256,2,0.043966863,0.000180967608108
pth_com,Seahorse_Valley,256,4,0.023535467,0.000664265020608
pth_com,Seahorse_Valley,256,8,0.016784365,0.00027962752089999996
pth_com,Seahorse_Valley,256,16,0.015098821,0.000511970822468
pth_com,Seahorse_Valley,256,32,0.013071743,0.00033306801164
pth_com,Seahorse_Valley,512,1,0.267418869,5.241409832400001e-5
pth_com,Seahorse_Valley,512,2,0.159217507,0.0005929259960680001
pth_com,Seahorse_Valley,512,4,0.090987776,0.0017298595973120002
pth_com,Seahorse_Valley,512,8,0.063209542,0.00029733768556799994
pth_com,Seahorse_Valley,512,16,0.051456833,0.0009379551519239999
pth_com,Seahorse_Valley,512,32,0.048806648,0.0009279119917760001
pth_com,Seahorse_Valley,1024,1,1.053426345,0.005987675344979999
pth_com,Seahorse_Valley,1024,2,0.633111215,0.00297815515536
